Courier code,Courier name,物流商名称
dhlactivetracing,DHL ACTIVETRACING,DHL ACTIVETRACING
dhlfreight,DHL Freight,DHL Freight
dhlparcelpl,DHL Parcel (PL),DHL Parcel (PL)
dhlparceluk,DHL Parcel (UK),DHL Parcel (UK)
dicomexpress,Dicom Express,Dicom Express
dotzot,DotZot,DotZot
dpdfr,DPD (FR),DPD (FR)
dpdie,DPD (IE),DPD (IE)
dpdpt,DPD (PT),DPD (PT)
dpdro,DPD (RO),DPD (RO)
earlybird,Early Bird,Early Bird
easymail,Easy Mail,Easy Mail
eltacourier,ELTA Courier,ELTA Courier
epostglobal,ePost Global,ePost Global
estesexpress,Estes,Estes
expressone,Express One,Express One
fastwayza,Fastway (ZA),Fastway (ZA)
firstmile,FirstMile,FirstMile
genikitaxydromiki,Geniki Taxydromiki,Geniki Taxydromiki
glscz,GLS (CZ),GLS (CZ)
glshu,GLS (HU),GLS (HU)
glsro,GLS (RO),GLS (RO)
glssi,GLS (SI),GLS (SI)
helthjem,Helthjem,Helthjem
hrp,HRP,HRP
hunterexpress,Hunter Express,Hunter Express
ids,IDS Logistik,IDS Logistik
iml,IML,IML艾姆勒
intelcom,Intelcom Express,Intelcom Express
jetid,J&T Express (ID),J&T Express (ID)
jtexpressph,J&T Express (PH),J&T Express (PH)
jtexpressth,J&T Express (TH),J&T Express (TH)
jetinternational,J&T International,极兔国际
janio,Janio,Janio
jneexpress,JNE Express,JNE Express
landmarkglobal,Landmark Global,Landmark Global
loomisexpress,Loomis Express,Loomis Express
matkahuolto,Matkahuolto,Matkahuolto
microexpress,Micro Express,Micro Express
ninjavan-id,Ninjavan (ID),Ninjavan (ID)
ninjavan-ph,Ninjavan (PH),Ninjavan (PH)
ninjavan-sg,Ninjavan (SG),Ninjavan (SG)
ninjavan-th,Ninjavan (TH),Ninjavan (TH)
ninjavan-vn,Ninjavan (VN),Ninjavan (VN)
ocaargentina,OCA,OCA
omniparcel,OmniParcel,OmniParcel
packlink,Packlink,Packlink
